file,category,row,column,source_cell_x,source_cell_y,source_cell_width,source_cell_height,trimmed_source_bbox,output_width,output_height,scale
sprites_3x/environment/environment_r04_c01_3x.png,environment,4,1,8,324,107,157,"16,339,108,470",276,393,3
sprites_3x/environment/environment_r04_c02_3x.png,environment,4,2,118,324,77,157,"126,340,187,474",183,402,3
sprites_3x/environment/environment_r04_c03_3x.png,environment,4,3,198,324,73,157,"207,342,271,472",192,390,3
sprites_3x/environment/environment_r04_c04_3x.png,environment,4,4,274,324,83,157,"274,341,357,472",249,393,3
sprites_3x/environment/environment_r04_c05_3x.png,environment,4,5,360,324,69,157,"360,349,421,470",183,363,3
sprites_3x/environment/environment_r04_c06_3x.png,environment,4,6,432,324,109,157,"440,345,534,471",282,378,3
sprites_3x/environment/environment_r04_c07_3x.png,environment,4,7,544,324,75,157,"554,331,611,473",171,426,3
sprites_3x/environment/environment_r04_c08_3x.png,environment,4,8,622,324,77,157,"629,334,690,471",183,411,3
sprites_3x/environment/environment_r04_c09_3x.png,environment,4,9,702,324,77,157,"705,331,777,471",216,420,3
sprites_3x/environment/environment_r04_c10_3x.png,environment,4,10,782,324,49,157,"799,331,816,472",51,423,3
sprites_3x/environment/environment_r04_c11_3x.png,environment,4,11,834,324,71,157,"846,331,896,471",150,420,3
sprites_3x/environment/environment_r04_c12_3x.png,environment,4,12,908,324,59,157,"920,332,955,471",105,417,3
sprites_3x/environment/environment_r04_c13_3x.png,environment,4,13,970,324,70,157,"980,332,1030,472",150,420,3
sprites_3x/environment/environment_r04_c14_3x.png,environment,4,14,1043,324,53,157,"1057,333,1096,472",117,417,3
sprites_3x/environment/environment_r05_c01_3x.png,environment,5,1,8,484,95,127,"14,513,99,578",255,195,3
sprites_3x/environment/environment_r05_c02_3x.png,environment,5,2,106,484,91,127,"109,509,194,582",255,219,3
sprites_3x/environment/environment_r05_c03_3x.png,environment,5,3,200,484,103,127,"204,499,299,581",285,246,3
sprites_3x/environment/environment_r05_c04_3x.png,environment,5,4,306,484,101,127,"310,515,402,562",276,141,3
sprites_3x/environment/environment_r05_c05_3x.png,environment,5,5,410,484,113,127,"414,517,520,567",318,150,3
sprites_3x/environment/environment_r05_c06_3x.png,environment,5,6,526,484,91,127,"535,501,609,601",222,300,3
sprites_3x/environment/environment_r05_c07_3x.png,environment,5,7,620,484,82,127,"632,499,690,600",174,303,3
sprites_3x/environment/environment_r05_c08_3x.png,environment,5,8,705,484,96,127,"712,499,801,600",267,303,3
sprites_3x/environment/environment_r05_c09_3x.png,environment,5,9,804,484,86,127,"813,489,880,601",201,336,3
sprites_3x/environment/environment_r05_c10_3x.png,environment,5,10,893,484,72,127,"901,489,958,600",171,333,3
sprites_3x/environment/environment_r05_c11_3x.png,environment,5,11,968,484,71,127,"976,490,1030,609",162,357,3
sprites_3x/environment/environment_r05_c12_3x.png,environment,5,12,1042,484,72,127,"1050,490,1103,600",159,330,3
sprites_3x/ui/ui_r06_c01_3x.png,ui,6,1,8,614,89,97,"16,621,90,699",222,234,3
sprites_3x/ui/ui_r06_c02_3x.png,ui,6,2,100,614,213,97,"102,650,310,673",624,69,3
sprites_3x/ui/ui_r06_c03_3x.png,ui,6,3,316,614,85,97,"330,621,390,698",180,231,3
sprites_3x/ui/ui_r06_c04_3x.png,ui,6,4,404,614,83,97,"408,621,482,698",222,231,3
sprites_3x/ui/ui_r06_c05_3x.png,ui,6,5,490,614,77,97,"512,627,554,693",126,198,3
sprites_3x/ui/ui_r06_c06_3x.png,ui,6,6,570,614,89,97,"581,648,646,674",195,78,3
sprites_3x/ui/ui_r06_c07_3x.png,ui,6,7,662,614,87,97,"669,648,737,674",204,78,3
sprites_3x/ui/ui_r06_c08_3x.png,ui,6,8,752,614,93,97,"761,646,837,678",228,96,3
sprites_3x/ui/ui_r06_c09_3x.png,ui,6,9,848,614,89,97,"860,645,931,678",213,99,3
sprites_3x/ui/ui_r06_c10_3x.png,ui,6,10,940,614,79,97,"949,633,1009,692",180,177,3
sprites_3x/ui/ui_r06_c11_3x.png,ui,6,11,1022,614,92,97,"1043,627,1090,698",141,213,3
sprites_3x/ui/ui_r07_c06_3x.png,ui,7,6,278,714,101,125,"289,740,371,812",246,216,3
sprites_3x/ui/ui_r07_c07_3x.png,ui,7,7,382,714,97,125,"391,738,469,814",234,228,3
sprites_3x/ui/ui_r07_c08_3x.png,ui,7,8,482,714,103,125,"492,732,577,820",255,264,3
sprites_3x/ui/ui_r07_c09_3x.png,ui,7,9,588,714,526,125,"600,732,1103,820",1509,264,3
sprites_3x/ui/ui_r08_c06_3x.png,ui,8,6,278,842,285,79,"292,860,551,898",777,114,3
sprites_3x/ui/ui_r08_c07_3x.png,ui,8,7,566,842,113,79,"579,860,661,903",246,129,3
sprites_3x/ui/ui_r08_c08_3x.png,ui,8,8,682,842,67,79,"698,853,735,908",111,165,3
sprites_3x/ui/ui_r08_c09_3x.png,ui,8,9,752,842,69,79,"771,857,804,905",99,144,3
sprites_3x/ui/ui_r08_c10_3x.png,ui,8,10,824,842,73,79,"837,853,886,905",147,156,3
sprites_3x/ui/ui_r08_c11_3x.png,ui,8,11,900,842,214,79,"915,850,1091,911",528,183,3
sprites_3x/props_vfx/props_vfx_r09_c01_3x.png,props_vfx,9,1,8,924,110,137,"40,948,88,1031",144,249,3
sprites_3x/props_vfx/props_vfx_r09_c02_3x.png,props_vfx,9,2,121,924,116,137,"160,948,197,1032",111,252,3
sprites_3x/props_vfx/props_vfx_r09_c03_3x.png,props_vfx,9,3,240,924,111,137,"271,949,308,1031",111,246,3
sprites_3x/props_vfx/props_vfx_r09_c04_3x.png,props_vfx,9,4,354,924,116,137,"382,940,444,1036",186,288,3
sprites_3x/props_vfx/props_vfx_r09_c05_3x.png,props_vfx,9,5,473,924,128,137,"497,942,572,1033",225,273,3
sprites_3x/props_vfx/props_vfx_r09_c06_3x.png,props_vfx,9,6,604,924,119,137,"630,940,697,1043",201,309,3
sprites_3x/props_vfx/props_vfx_r09_c07_3x.png,props_vfx,9,7,726,924,117,137,"755,937,804,1051",147,342,3
sprites_3x/props_vfx/props_vfx_r09_c08_3x.png,props_vfx,9,8,846,924,135,137,"892,931,946,1055",162,372,3
sprites_3x/props_vfx/props_vfx_r09_c09_3x.png,props_vfx,9,9,984,924,130,137,"1005,949,1088,1038",249,267,3
sprites_3x/vfx/vfx_r10_c01_3x.png,vfx,10,1,8,1064,111,91,"28,1073,97,1139",207,198,3
sprites_3x/vfx/vfx_r10_c02_3x.png,vfx,10,2,122,1064,107,91,"139,1071,209,1146",210,225,3
sprites_3x/vfx/vfx_r10_c03_3x.png,vfx,10,3,232,1064,105,91,"252,1073,316,1142",192,207,3
sprites_3x/vfx/vfx_r10_c04_3x.png,vfx,10,4,340,1064,105,91,"360,1071,426,1144",198,219,3
sprites_3x/vfx/vfx_r10_c05_3x.png,vfx,10,5,448,1064,107,91,"465,1071,539,1145",222,222,3
sprites_3x/vfx/vfx_r10_c06_3x.png,vfx,10,6,558,1064,107,91,"576,1079,642,1139",198,180,3
sprites_3x/vfx/vfx_r10_c07_3x.png,vfx,10,7,668,1064,111,91,"692,1084,752,1126",180,126,3
sprites_3x/vfx/vfx_r10_c08_3x.png,vfx,10,8,782,1064,99,91,"797,1079,866,1136",207,171,3
sprites_3x/vfx/vfx_r10_c09_3x.png,vfx,10,9,884,1064,119,91,"903,1073,988,1142",255,207,3
sprites_3x/vfx/vfx_r10_c10_3x.png,vfx,10,10,1006,1064,108,91,"1019,1078,1103,1143",252,195,3
sprites_3x/environment/environment_r11_c01_3x.png,environment,11,1,8,1158,85,113,"15,1177,83,1238",204,183,3
sprites_3x/environment/environment_r11_c02_3x.png,environment,11,2,96,1158,101,113,"107,1178,187,1251",240,219,3
sprites_3x/environment/environment_r11_c03_3x.png,environment,11,3,200,1158,99,113,"211,1177,287,1251",228,222,3
sprites_3x/environment/environment_r11_c04_3x.png,environment,11,4,302,1158,91,113,"313,1176,383,1252",210,228,3
sprites_3x/environment/environment_r11_c05_3x.png,environment,11,5,396,1158,93,113,"407,1177,479,1238",216,183,3
sprites_3x/environment/environment_r11_c06_3x.png,environment,11,6,492,1158,97,113,"504,1176,576,1251",216,225,3
sprites_3x/environment/environment_r11_c07_3x.png,environment,11,7,592,1158,87,113,"604,1176,667,1243",189,201,3
sprites_3x/environment/environment_r11_c08_3x.png,environment,11,8,682,1158,83,113,"694,1174,753,1254",177,240,3
sprites_3x/environment/environment_r11_c09_3x.png,environment,11,9,768,1158,79,113,"782,1166,833,1262",153,288,3
sprites_3x/environment/environment_r11_c10_3x.png,environment,11,10,850,1158,79,113,"864,1167,914,1262",150,285,3
sprites_3x/environment/environment_r11_c11_3x.png,environment,11,11,932,1158,101,113,"950,1166,1012,1261",186,285,3
sprites_3x/environment/environment_r11_c12_3x.png,environment,11,12,1036,1158,78,113,"1044,1166,1107,1263",189,291,3
sprites_3x/environment/environment_r12_c01_3x.png,environment,12,1,8,1274,85,119,"11,1297,90,1361",237,192,3
sprites_3x/environment/environment_r12_c02_3x.png,environment,12,2,96,1274,101,119,"106,1290,191,1370",255,240,3
sprites_3x/environment/environment_r12_c03_3x.png,environment,12,3,200,1274,89,119,"208,1281,286,1369",234,264,3
sprites_3x/environment/environment_r12_c04_3x.png,environment,12,4,292,1274,95,119,"296,1299,384,1347",264,144,3
sprites_3x/environment/environment_r12_c05_3x.png,environment,12,5,390,1274,93,119,"395,1303,480,1344",255,123,3
sprites_3x/environment/environment_r12_c06_3x.png,environment,12,6,486,1274,89,119,"493,1307,570,1353",231,138,3
sprites_3x/environment/environment_r12_c07_3x.png,environment,12,7,578,1274,85,119,"589,1295,654,1376",195,243,3
sprites_3x/environment/environment_r12_c08_3x.png,environment,12,8,666,1274,99,119,"677,1286,756,1382",237,288,3
sprites_3x/environment/environment_r12_c09_3x.png,environment,12,9,768,1274,111,119,"779,1286,869,1379",270,279,3
sprites_3x/environment/environment_r12_c10_3x.png,environment,12,10,882,1274,115,119,"898,1286,981,1375",249,267,3
sprites_3x/environment/environment_r12_c11_3x.png,environment,12,11,1000,1274,114,119,"1015,1285,1106,1382",273,291,3
sprites_3x/ui/ui_meter_01_3x.png,ui,7,1,8,714,49,207,"20,718,50,913",90,585,3
sprites_3x/ui/ui_meter_02_3x.png,ui,7,2,60,714,46,207,"68,718,97,912",87,582,3
sprites_3x/ui/ui_meter_03_3x.png,ui,7,3,109,714,49,207,"117,719,147,911",90,576,3
sprites_3x/ui/ui_meter_04_3x.png,ui,7,4,161,714,55,207,"170,718,199,911",87,579,3
sprites_3x/ui/ui_descent_3x.png,ui,7,5,219,714,57,207,"223,723,271,901",144,534,3
